iter	Passed	Remaining
0	3	3730
1	6	3238
2	9	3015
3	11	2818
4	14	2820
5	16	2746
6	19	2709
7	23	2938
8	28	3095
9	32	3176
10	35	3178
11	37	3097
12	39	3027
13	41	2957
14	44	2905
15	46	2860
16	48	2808
17	50	2758
18	52	2736
19	55	2697
20	57	2666
21	59	2649
22	62	2637
23	64	2605
24	66	2583
25	68	2560
26	70	2540
27	72	2521
28	74	2507
29	77	2493
30	79	2478
31	81	2466
32	83	2458
33	86	2447
34	88	2436
35	90	2426
36	92	2414
37	94	2404
38	97	2403
39	100	2404
40	102	2396
41	104	2388
42	106	2378
43	109	2369
44	111	2360
45	113	2351
46	115	2344
47	117	2335
48	119	2328
49	122	2329
50	125	2330
51	127	2329
52	129	2321
53	132	2313
54	134	2306
55	136	2300
56	138	2292
57	142	2315
58	144	2310
59	147	2304
60	149	2295
61	151	2288
62	153	2282
63	155	2280
64	158	2274
65	160	2267
66	162	2263
67	164	2259
68	167	2255
69	169	2250
70	171	2246
71	174	2245
72	176	2240
73	178	2236
74	181	2232
75	183	2227
76	185	2223
77	187	2218
78	189	2214
79	192	2210
80	194	2206
81	196	2202
82	198	2197
83	201	2195
84	203	2190
85	205	2187
86	208	2184
87	210	2181
88	212	2177
89	215	2176
90	218	2178
91	220	2178
92	223	2179
93	226	2180
94	228	2180
95	232	2185
96	234	2186
97	237	2188
98	240	2189
99	243	2190
100	246	2191
101	249	2192
102	251	2192
103	254	2191
104	257	2192
105	260	2193
106	263	2199
107	266	2197
108	268	2197
109	271	2197
110	274	2195
111	276	2196
112	279	2195
113	282	2194
114	285	2194
115	287	2194
116	290	2194
117	293	2194
118	296	2194
119	299	2194
120	302	2194
121	305	2195
122	308	2197
123	310	2196
124	313	2196
125	316	2197
126	319	2198
127	322	2198
128	325	2200
129	329	2202
130	332	2203
131	335	2205
132	338	2208
133	341	2209
134	345	2215
135	350	2226
136	354	2232
137	357	2232
138	360	2231
139	363	2232
140	366	2231
141	369	2230
142	371	2228
143	374	2228
144	377	2227
145	380	2226
146	383	2225
147	386	2224
148	389	2221
149	391	2219
150	394	2217
151	397	2215
152	400	2214
153	402	2211
154	405	2210
155	408	2207
156	410	2206
157	413	2205
158	416	2204
159	419	2204
160	422	2203
161	425	2201
162	428	2201
163	431	2199
164	434	2197
165	437	2195
166	440	2195
167	443	2194
168	446	2193
169	448	2191
170	451	2189
171	454	2187
172	457	2186
173	460	2186
174	463	2184
175	466	2184
176	469	2182
177	472	2181
178	475	2179
179	478	2178
180	481	2177
181	483	2174
182	486	2172
183	489	2171
184	492	2168
185	494	2165
186	497	2163
